2973,2979,3526,,,,,0.632106,-44.852336,238.102,13.92,67.68,0.0,9.390,5.074,G2/G3V,0.605,51.039549,8.524248,-51.480441,0.00001585,0.00000764,0.00001698,0.16548500650306291,-0.7828209339333838,0.00000006748606433333333,0.000000328121899,,,,1,2973,,0.813579505605396,,,
3017,3023,,,,,,0.641779,-57.936392,363.657,100.47,123.42,0.0,10.070,4.834,G2,0.647,58.348334,9.897061,-94.477047,0.00004665,0.00006299,0.00003541,0.16801732205766748,-1.011180791375865,0.0000004870923048541667,0.000000598357044,,,,1,3017,,1.0148456628180953,,10.14,10.02
3093,3099,3677,,,,,0.657445,-24.523492,720.088,73.51,16.49,0.0,9.450,2.730,G2/G3V,0.615,197.869386,34.397454,-91.626136,-0.00000626,0.00007876,0.00001605,0.17211882138219506,-0.42801567847446875,0.0000003563865365763889,0.000000079945775,,,,1,3093,,7.046930689671467,,,
3232,3239,3886,,,,,0.686851,-34.534196,458.791,25.13,14.31,0.0,9.940,4.199,G2/G3V,0.642,113.995173,20.722145,-79.732503,0.00000238,0.00001785,0.00000804,0.17981718704468183,-0.6027354179526763,0.0000001218336779236111,0.000000069376837,,,,1,3232,,1.8213776371047792,,9.992,9.892
3352,3359,4049,,,,,0.712773,-20.360130,353.413,24.30,-18.93,0.0,9.730,4.556,G2/G3V,0.571,99.810319,18.844193,-37.694461,-0.00000577,0.00001190,-0.00000932,0.1866034868350883,-0.35535131303325374,0.00000011780972437500001,-0.000000091775229,,,,1,3352,,1.3109918746497773,,,
3957,3967,,,,,,0.849793,-30.365864,452.427,-53.46,-52.45,0.0,10.300,4.590,G2,0.595,116.719920,26.404342,-70.113727,-0.00000946,-0.00003899,-0.00003043,0.22247540116280576,-0.5299843139917813,-0.000000259181393625,-0.000000254284775,,,,1,3957,,1.2705741052085415,,,
4035,4045,5025,,,,,0.864069,-40.304721,260.543,161.61,-99.41,0.0,9.670,5.158,G2/G3V,0.641,59.359854,13.661917,-51.665542,-0.00003830,0.00005540,-0.00002935,0.22621264968965502,-0.7034500810911912,0.0000007835073891458334,-0.000000481953279,,,,1,4035,,0.7530087105475889,,,
4147,4157,5303,,,,,0.885381,-74.651561,291.51,243.00,20.19,12.1,7.610,2.854,G2/5V + F0,0.678,23.021287,5.434519,-86.178294,-0.00001279,0.00010515,-0.00000962,0.2317923063508828,-1.3029155355160325,0.00000117809724375,0.000000097883882,,,Tuc,1,4147,,6.286370884130496,CF,7.838,7.508
4238,4248,5270,,,,,0.903021,-30.862455,1418.26,10.59,4.47,0.0,10.080,1.889,G2/G3V,0.533,362.836846,87.413040,-223.034286,-0.00000053,0.00002283,0.00000809,0.23641041624047673,-0.5386514573772537,0.00000005134176877083334,0.000000021671171,,,,1,4238,,15.289736466907097,,,
4241,4251,5269,,,,,0.903735,-22.885510,366.517,16.15,0.46,0.0,9.590,4.337,G2/G3V,0.562,100.631267,24.263542,-43.695634,-0.00000197,0.00000857,0.00000023,0.23659737010233234,-0.39942749648625747,0.00000007829740940972222,0.000000002230142,,,,1,4241,,1.603983882508418,,,
